Actual_Calories,Predicted_Calories
88.0,86.94
53.0,59.61
23.0,20.33
152.0,153.6
49.0,51.36
201.0,199.94
47.0,45.62
81.0,82.35
129.0,125.23
45.0,52.64
61.0,61.81
62.0,60.81
164.0,170.58
11.0,10.75
23.0,24.09
60.0,64.51
236.0,230.29
53.0,50.55
90.0,90.97
23.0,23.62
4.0,3.86
22.0,26.04
112.0,113.56
12.0,12.62
161.0,162.64
111.0,115.17
137.0,137.28
56.0,56.93
227.0,214.09
90.0,89.85
197.0,207.69
136.0,136.85
101.0,106.07
233.0,222.81
72.0,72.89
108.0,108.36
71.0,70.35
96.0,97.03
97.0,97.34
6.0,5.92
51.0,54.35
189.0,190.97
22.0,21.61
136.0,137.34
111.0,107.18
49.0,48.0
133.0,131.0
35.0,35.65
10.0,9.97
127.0,130.02
80.0,78.71
41.0,40.43
159.0,158.33
196.0,195.62
69.0,69.12
191.0,193.24
107.0,108.4
132.0,131.12
133.0,132.57
132.0,129.24
26.0,23.16
89.0,82.75
181.0,179.43
14.0,15.36
122.0,129.78
53.0,53.03
144.0,142.89
52.0,51.23
39.0,39.18
152.0,156.79
45.0,43.84
53.0,54.62
137.0,136.52
10.0,19.26
161.0,160.65
8.0,8.31
83.0,83.98
58.0,64.47
11.0,10.59
13.0,12.38
92.0,91.47
52.0,51.53
117.0,113.32
23.0,21.18
4.0,3.71
190.0,188.96
29.0,31.26
112.0,111.04
94.0,114.34
108.0,106.36
77.0,71.14
142.0,139.6
93.0,105.19
108.0,109.27
162.0,160.74
16.0,19.2
45.0,45.47
112.0,112.9
37.0,37.58
180.0,180.62
15.0,12.7
42.0,45.8
16.0,15.99
221.0,219.56
63.0,68.22
207.0,205.83
109.0,108.75
40.0,41.38
98.0,95.87
211.0,204.58
150.0,151.74
183.0,183.58
23.0,23.29
156.0,154.77
196.0,193.86
87.0,87.29
73.0,75.85
140.0,127.77
197.0,188.27
115.0,109.54
210.0,207.85
14.0,13.4
165.0,163.93
70.0,68.03
106.0,105.91
137.0,137.17
215.0,216.51
55.0,54.29
17.0,14.26
128.0,128.63
12.0,11.43
11.0,10.58
82.0,83.21
50.0,51.19
46.0,48.15
86.0,85.95
132.0,130.23
62.0,61.7
164.0,161.95
30.0,29.54
103.0,102.81
167.0,151.25
148.0,139.95
93.0,90.4
26.0,25.52
30.0,29.26
38.0,36.64
169.0,168.91
125.0,123.31
72.0,71.7
131.0,131.65
197.0,194.33
91.0,90.74
17.0,16.26
72.0,73.76
65.0,61.78
36.0,34.02
212.0,210.03
124.0,120.66
119.0,117.52
92.0,92.07
107.0,106.87
141.0,137.75
14.0,17.84
178.0,175.34
94.0,95.8
4.0,3.99
87.0,92.14
167.0,168.33
111.0,119.29
32.0,31.75
110.0,102.91
67.0,65.76
46.0,45.92
8.0,8.14
56.0,57.68
148.0,150.17
114.0,121.35
190.0,186.18
37.0,37.32
177.0,174.73
222.0,225.17
47.0,44.05
166.0,167.26
197.0,194.9
41.0,39.07
17.0,16.71
211.0,211.04
50.0,49.59
4.0,4.0
43.0,43.01
105.0,105.84
157.0,160.46
30.0,28.16
134.0,137.01
12.0,10.95
129.0,131.51
12.0,10.77
45.0,45.59
177.0,176.08
139.0,137.83
19.0,19.49
90.0,88.53
11.0,9.91
4.0,3.98
3.0,3.24
146.0,147.09
56.0,57.45
13.0,12.74
182.0,176.92
15.0,15.12
189.0,183.45
12.0,11.83
34.0,32.18
93.0,91.21
86.0,90.59
21.0,20.93
40.0,38.34
11.0,10.88
31.0,30.95
4.0,3.84
114.0,113.92
129.0,129.48
6.0,6.05
169.0,166.02
64.0,63.78
68.0,68.09
158.0,158.49
33.0,33.91
78.0,76.09
115.0,110.59
7.0,7.0
49.0,46.22
37.0,29.71
10.0,13.03
55.0,55.18
41.0,41.9
143.0,147.24
45.0,43.84
29.0,29.33
23.0,23.21
24.0,24.8
132.0,130.31
135.0,139.94
44.0,43.82
175.0,171.77
24.0,23.92
101.0,100.51
11.0,11.1
60.0,61.52
110.0,115.42
113.0,111.89
4.0,3.79
146.0,145.95
137.0,135.65
41.0,40.55
137.0,136.27
70.0,67.67
105.0,102.4
62.0,63.17
44.0,37.77
62.0,60.58
81.0,83.0
59.0,60.84
141.0,132.35
121.0,121.27
34.0,32.66
32.0,30.51
5.0,11.26
16.0,15.3
132.0,137.91
15.0,14.85
176.0,166.71
14.0,14.15
18.0,20.73
123.0,123.82
24.0,26.58
167.0,166.22
115.0,113.62
143.0,142.3
28.0,29.25
48.0,54.09
63.0,67.54
15.0,16.42
117.0,122.36
20.0,19.22
185.0,190.33
69.0,68.24
184.0,182.71
77.0,74.61
12.0,11.41
26.0,24.97
27.0,26.02
52.0,51.86
42.0,45.76
132.0,133.22
98.0,98.16
22.0,22.77
157.0,153.41
180.0,174.26
152.0,145.14
26.0,28.93
32.0,32.64
76.0,73.7
38.0,35.12
57.0,54.65
71.0,70.99
162.0,163.28
31.0,32.67
51.0,50.39
76.0,76.93
108.0,112.93
88.0,94.49
60.0,60.03
6.0,5.93
12.0,13.76
164.0,162.65
71.0,75.77
121.0,121.01
58.0,57.75
214.0,207.76
23.0,20.81
69.0,68.05
41.0,39.08
132.0,135.26
5.0,5.36
68.0,67.01
39.0,39.43
215.0,207.37
1.0,1.64
4.0,3.62
69.0,67.74
230.0,225.43
15.0,13.19
189.0,186.77
64.0,63.29
119.0,114.78
178.0,178.28
116.0,114.19
70.0,71.23
152.0,171.21
55.0,47.94
39.0,39.64
190.0,190.87
117.0,115.57
104.0,104.22
9.0,9.62
29.0,28.13
33.0,33.61
71.0,77.54
148.0,148.99
97.0,102.72
94.0,107.63
173.0,179.66
187.0,182.45
64.0,61.85
9.0,8.24
54.0,54.29
220.0,217.99
198.0,199.33
33.0,32.12
10.0,10.09
6.0,8.79
12.0,10.96
109.0,105.75
3.0,3.66
25.0,24.19
91.0,88.64
232.0,224.47
49.0,46.5
43.0,43.08
64.0,63.88
216.0,212.58
185.0,184.41
107.0,110.24
59.0,59.04
69.0,66.69
213.0,208.39
97.0,110.72
61.0,67.4
73.0,75.28
197.0,195.35
104.0,109.16
105.0,105.37
134.0,132.61
225.0,223.18
23.0,21.56
100.0,103.74
46.0,50.44
69.0,66.02
15.0,14.77
26.0,25.02
259.0,253.04
158.0,158.2
179.0,182.83
13.0,13.59
15.0,17.2
16.0,16.63
131.0,147.94
131.0,135.43
166.0,166.35
26.0,25.87
174.0,176.9
89.0,89.62
117.0,111.76
75.0,73.6
6.0,6.26
215.0,214.52
39.0,39.14
44.0,42.89
136.0,133.5
208.0,202.02
110.0,108.51
115.0,112.97
19.0,17.37
10.0,9.95
57.0,59.9
126.0,123.29
139.0,148.28
99.0,100.4
158.0,160.4
118.0,126.58
27.0,30.87
120.0,121.44
72.0,70.37
53.0,56.56
30.0,29.23
6.0,5.51
45.0,46.6
160.0,156.73
165.0,157.3
32.0,34.32
110.0,109.06
165.0,164.97
41.0,45.29
117.0,118.57
104.0,107.68
86.0,85.59
120.0,116.86
43.0,42.28
98.0,112.24
16.0,15.18
30.0,28.44
50.0,50.73
68.0,65.46
80.0,81.2
79.0,81.77
55.0,55.37
22.0,20.22
259.0,253.03
61.0,60.86
41.0,38.49
31.0,31.54
147.0,150.84
36.0,35.5
5.0,5.27
106.0,103.33
90.0,87.93
120.0,118.01
8.0,7.75
101.0,98.24
68.0,65.52
42.0,42.33
7.0,6.27
47.0,46.06
156.0,158.36
138.0,139.32
13.0,14.12
35.0,36.14
207.0,205.62
157.0,155.98
88.0,93.97
166.0,169.6
175.0,175.96
28.0,23.99
55.0,56.05
16.0,16.33
66.0,69.1
196.0,194.17
132.0,137.78
52.0,51.29
32.0,31.41
133.0,131.53
8.0,7.49
37.0,38.2
140.0,139.91
20.0,17.88
17.0,16.23
52.0,51.97
14.0,13.77
62.0,60.61
159.0,157.21
187.0,189.38
74.0,76.2
8.0,7.7
10.0,14.83
64.0,62.84
8.0,7.47
92.0,93.68
136.0,136.78
88.0,86.66
64.0,65.36
11.0,9.75
106.0,109.3
69.0,69.57
6.0,6.77
61.0,63.72
19.0,21.54
98.0,98.59
110.0,107.53
133.0,131.72
43.0,45.02
8.0,7.27
187.0,182.69
142.0,139.81
172.0,168.62
41.0,40.67
138.0,140.88
18.0,18.97
23.0,24.21
57.0,55.67
231.0,197.15
29.0,29.62
153.0,154.35
65.0,76.94
101.0,99.8
77.0,82.44
7.0,6.93
129.0,131.56
46.0,45.29
23.0,25.18
27.0,27.92
197.0,199.57
10.0,10.16
118.0,117.13
137.0,135.58
31.0,28.27
134.0,133.28
54.0,54.51
51.0,52.68
113.0,111.93
55.0,54.05
196.0,190.47
112.0,113.81
165.0,164.57
194.0,195.38
32.0,32.71
180.0,180.1
152.0,152.55
216.0,216.19
160.0,153.73
153.0,152.46
11.0,15.83
136.0,135.73
189.0,192.82
10.0,10.64
169.0,171.8
38.0,35.68
68.0,65.87
28.0,24.87
172.0,171.57
28.0,26.94
146.0,142.85
66.0,66.14
17.0,17.43
27.0,28.0
135.0,130.94
169.0,163.46
88.0,86.1
67.0,66.97
16.0,15.49
223.0,217.71
96.0,94.25
4.0,3.49
10.0,9.14
80.0,76.97
30.0,31.04
7.0,6.65
115.0,114.05
143.0,142.2
49.0,46.98
163.0,163.26
3.0,3.72
92.0,83.04
190.0,191.73
81.0,80.8
41.0,35.35
84.0,89.24
175.0,185.7
13.0,12.64
110.0,109.32
163.0,162.73
157.0,153.89
21.0,21.1
110.0,108.7
86.0,93.57
30.0,35.65
174.0,173.48
160.0,161.66
88.0,89.0
142.0,143.08
83.0,79.68
82.0,82.38
133.0,133.63
53.0,49.66
9.0,8.39
152.0,148.89
168.0,165.05
45.0,45.84
4.0,3.86
153.0,150.86
18.0,18.17
70.0,68.77
170.0,167.19
127.0,126.42
67.0,66.47
12.0,13.14
102.0,99.76
31.0,44.95
63.0,62.27
40.0,39.65
18.0,16.53
147.0,145.43
14.0,13.35
245.0,239.6
156.0,154.11
30.0,28.99
141.0,140.98
142.0,142.68
5.0,4.9
64.0,64.87
11.0,11.05
80.0,78.11
147.0,148.72
91.0,90.37
183.0,176.41
64.0,62.52
57.0,56.2
42.0,40.71
200.0,204.77
7.0,7.87
118.0,118.49
128.0,133.84
63.0,64.17
141.0,143.85
90.0,93.62
113.0,112.66
128.0,130.74
198.0,193.51
158.0,156.54
168.0,167.73
22.0,21.1
90.0,89.23
114.0,115.56
217.0,206.3
123.0,125.35
136.0,136.42
120.0,120.89
150.0,147.81
61.0,59.45
95.0,94.53
156.0,157.46
23.0,22.83
98.0,104.29
54.0,55.0
50.0,45.98
4.0,3.35
112.0,112.63
133.0,129.94
80.0,79.4
144.0,140.25
11.0,10.47
34.0,31.16
123.0,119.83
131.0,128.18
193.0,193.42
168.0,165.67
93.0,93.62
266.0,255.69
169.0,167.88
105.0,109.81
93.0,88.18
2.0,2.34
39.0,39.01
37.0,40.01
119.0,115.84
68.0,66.38
43.0,39.48
18.0,19.0
18.0,17.72
152.0,150.89
171.0,170.67
160.0,165.36
8.0,8.06
61.0,62.87
13.0,12.32
127.0,128.41
152.0,149.36
169.0,164.85
208.0,210.48
33.0,33.28
94.0,95.0
7.0,7.2
44.0,45.84
41.0,43.3
43.0,42.72
25.0,24.72
7.0,6.72
210.0,205.93
76.0,82.15
65.0,63.02
33.0,32.63
142.0,171.03
235.0,237.93
147.0,145.09
23.0,22.02
109.0,110.56
20.0,18.64
75.0,72.94
105.0,106.02
47.0,43.84
237.0,233.17
134.0,137.79
11.0,10.55
94.0,87.82
210.0,209.39
138.0,140.05
6.0,5.14
159.0,157.4
136.0,134.44
133.0,128.2
166.0,177.88
38.0,41.2
71.0,73.56
59.0,62.12
205.0,206.69
118.0,120.05
2.0,3.72
40.0,43.18
185.0,185.37
39.0,37.77
208.0,203.97
55.0,50.89
28.0,28.23
104.0,103.55
94.0,90.28
217.0,205.39
148.0,153.34
56.0,53.9
103.0,107.05
58.0,58.5
94.0,94.84
128.0,124.23
7.0,7.25
135.0,128.81
107.0,103.04
38.0,37.58
31.0,30.12
167.0,164.37
154.0,154.02
60.0,59.83
49.0,48.77
14.0,14.9
84.0,81.3
88.0,86.6
59.0,66.22
162.0,163.61
159.0,158.01
28.0,26.2
40.0,39.64
9.0,9.34
149.0,146.07
15.0,18.39
150.0,149.97
11.0,11.74
3.0,3.16
7.0,7.15
12.0,13.49
128.0,126.24
156.0,153.15
78.0,81.12
21.0,22.86
60.0,60.57
150.0,149.73
99.0,96.06
156.0,158.23
17.0,16.82
19.0,21.91
189.0,198.52
45.0,44.16
42.0,41.09
124.0,124.82
12.0,12.37
75.0,71.72
36.0,37.49
80.0,79.6
236.0,229.86
34.0,33.63
112.0,112.95
32.0,30.94
61.0,61.9
103.0,102.05
47.0,47.36
111.0,116.25
28.0,28.45
179.0,176.75
10.0,9.9
56.0,56.67
200.0,188.51
154.0,153.74
58.0,59.1
36.0,35.66
60.0,59.27
91.0,87.89
8.0,8.11
103.0,108.33
87.0,86.51
192.0,188.52
70.0,70.33
166.0,166.78
10.0,9.82
129.0,126.36
13.0,13.98
15.0,16.28
6.0,5.72
153.0,152.85
23.0,21.66
62.0,62.42
162.0,168.59
193.0,196.28
15.0,13.77
119.0,116.34
39.0,39.01
91.0,91.67
143.0,142.82
2.0,2.15
64.0,65.81
60.0,59.64
129.0,128.63
138.0,144.3
20.0,19.33
5.0,5.72
28.0,28.43
32.0,32.52
111.0,105.88
9.0,8.25
30.0,28.48
89.0,89.89
156.0,157.34
191.0,183.45
117.0,115.18
163.0,168.97
175.0,175.21
86.0,89.68
6.0,6.5
54.0,50.44
8.0,8.56
153.0,152.81
121.0,123.33
165.0,177.77
27.0,26.09
12.0,12.48
103.0,101.83
185.0,185.82
96.0,100.94
161.0,158.95
91.0,86.17
132.0,128.22
36.0,35.06
69.0,74.28
29.0,29.64
252.0,252.1
23.0,23.37
156.0,153.68
32.0,31.5
98.0,93.49
134.0,134.7
100.0,103.78
8.0,7.36
155.0,158.56
130.0,155.18
93.0,94.4
44.0,45.4
196.0,192.6
142.0,141.66
99.0,100.5
14.0,13.17
144.0,142.75
165.0,173.13
111.0,105.17
185.0,187.12
65.0,62.77
101.0,103.97
146.0,139.12
158.0,155.09
67.0,69.17
23.0,22.07
13.0,13.54
80.0,78.41
161.0,160.56
44.0,42.1
55.0,55.6
126.0,127.2
166.0,166.94
12.0,12.22
140.0,139.72
7.0,7.01
44.0,44.73
13.0,13.18
88.0,88.15
8.0,10.12
56.0,54.67
22.0,22.15
31.0,36.53
68.0,66.33
96.0,95.33
186.0,187.82
66.0,65.51
178.0,177.88
102.0,103.69
180.0,179.16
120.0,120.28
73.0,73.33
134.0,133.3
153.0,154.47
71.0,69.62
32.0,30.58
68.0,68.31
151.0,151.88
83.0,81.93
42.0,38.71
91.0,90.67
96.0,95.19
138.0,148.96
17.0,16.86
12.0,11.77
172.0,168.72
20.0,18.77
106.0,108.66
156.0,152.54
35.0,30.97
96.0,96.22
70.0,73.22
72.0,72.22
197.0,199.86
104.0,103.04
186.0,185.07
54.0,51.51
29.0,28.31
82.0,85.23
13.0,12.88
28.0,22.61
26.0,19.11
240.0,206.69
90.0,87.79
3.0,3.17
200.0,203.48
122.0,121.52
72.0,77.26
180.0,177.77
137.0,141.69
19.0,20.25
121.0,120.21
16.0,16.12
121.0,114.21
35.0,35.25
88.0,86.92
133.0,138.36
48.0,48.48
132.0,131.67
88.0,86.79
24.0,23.37
13.0,15.74
167.0,151.83
43.0,44.86
61.0,62.88
100.0,100.51
57.0,56.71
239.0,227.46
53.0,56.54
105.0,104.61
20.0,20.55
162.0,161.55
91.0,89.7
22.0,22.14
203.0,202.23
65.0,67.03
174.0,183.07
20.0,20.86
66.0,67.23
36.0,35.47
206.0,205.8
125.0,125.67
136.0,136.12
82.0,82.35
99.0,97.6
140.0,136.25
143.0,144.17
150.0,149.27
60.0,64.87
110.0,111.58
230.0,220.33
78.0,77.28
104.0,102.88
120.0,137.37
45.0,60.8
243.0,240.16
115.0,120.59
211.0,214.1
48.0,55.92
48.0,50.22
192.0,190.78
107.0,103.46
98.0,99.11
154.0,146.08
79.0,77.76
180.0,179.81
73.0,72.18
189.0,189.53
84.0,84.86
179.0,168.35
109.0,108.77
128.0,128.12
29.0,21.89
50.0,51.66
80.0,78.22
137.0,134.38
80.0,79.18
63.0,58.93
138.0,135.97
194.0,193.75
161.0,157.72
81.0,84.59
198.0,190.67
29.0,27.97
160.0,157.0
95.0,97.08
48.0,46.25
123.0,120.48
54.0,58.04
114.0,122.27
22.0,26.95
54.0,55.78
123.0,123.81
153.0,151.32
261.0,252.82
7.0,6.33
123.0,122.34
28.0,27.97
108.0,107.09
43.0,41.23
75.0,74.08
135.0,131.83
96.0,91.46
170.0,173.74
9.0,9.67
54.0,57.58
20.0,20.28
104.0,103.29
92.0,90.75
31.0,31.33
53.0,49.88
157.0,158.44
20.0,20.03
85.0,86.41
134.0,126.94
24.0,23.67
218.0,217.83
171.0,172.86
27.0,22.96
29.0,25.65
109.0,108.03
171.0,169.54
32.0,32.09
222.0,220.41
266.0,259.92
93.0,93.99
189.0,191.76
192.0,188.06
70.0,63.77
74.0,72.59
13.0,13.17
99.0,98.29
28.0,28.21
8.0,10.93
164.0,161.37
196.0,196.11
60.0,65.1
175.0,170.63
131.0,130.2
77.0,76.31
73.0,75.07
20.0,19.52
168.0,163.63
152.0,153.05
193.0,177.16
168.0,168.93
41.0,39.07
146.0,144.87
111.0,109.53
85.0,85.2
18.0,18.05
4.0,4.19
216.0,210.93
10.0,10.06
66.0,64.59
28.0,25.91
167.0,171.94
125.0,119.12
50.0,52.28
23.0,21.93
70.0,70.53
183.0,181.72
70.0,69.25
7.0,6.81
11.0,10.06
112.0,123.42
2.0,2.59
56.0,57.71
166.0,166.29
23.0,22.91
50.0,46.87
111.0,113.8
57.0,57.42
133.0,129.72
194.0,199.02
122.0,123.75
172.0,173.09
43.0,47.3
75.0,81.46
44.0,48.23
114.0,106.74
108.0,106.44
47.0,46.33
16.0,14.36
10.0,8.67
82.0,86.64
64.0,62.49
61.0,77.07
196.0,192.94
180.0,182.27
190.0,187.34
7.0,7.08
91.0,90.86
76.0,75.85
4.0,4.15
24.0,33.24
234.0,228.51
81.0,79.41
145.0,146.11
100.0,102.04
50.0,50.93
131.0,131.16
20.0,21.13
118.0,116.29
221.0,222.78
103.0,94.39
24.0,23.88
224.0,217.16
25.0,27.7
97.0,95.42
15.0,13.65
63.0,62.6
202.0,200.54
205.0,214.23
48.0,48.42
9.0,9.39
79.0,74.58
63.0,61.99
6.0,12.85
172.0,174.36
108.0,105.62
50.0,47.05
4.0,4.13
113.0,124.21
94.0,95.38
39.0,41.34
36.0,33.34
63.0,63.18
147.0,144.53
166.0,165.06
142.0,140.26
8.0,7.99
57.0,57.41
41.0,40.22
30.0,28.77
179.0,184.93
165.0,165.0
142.0,141.41
7.0,7.24
42.0,40.72
216.0,189.45
86.0,83.13
78.0,77.44
52.0,53.52
5.0,5.15
207.0,207.25
187.0,187.34
204.0,203.7
36.0,37.19
17.0,17.23
162.0,164.96
96.0,106.43
71.0,70.37
58.0,68.96
68.0,66.56
62.0,65.26
26.0,26.46
28.0,28.29
47.0,47.21
18.0,18.54
46.0,44.02
12.0,12.04
11.0,10.81
41.0,36.4
129.0,130.75
137.0,134.56
4.0,3.99
34.0,33.69
68.0,69.85
115.0,108.73
113.0,116.57
19.0,19.77
78.0,73.09
44.0,43.43
117.0,117.31
226.0,205.26
87.0,86.68
79.0,78.96
90.0,85.52
17.0,16.19
11.0,11.3
175.0,177.34
35.0,34.6
95.0,93.53
107.0,110.71
60.0,59.84
27.0,25.4
197.0,198.17
122.0,120.32
217.0,209.7
86.0,84.32
135.0,133.52
134.0,129.25
35.0,35.82
51.0,51.03
43.0,42.36
21.0,20.61
32.0,30.02
70.0,74.1
60.0,59.72
193.0,193.02
173.0,170.32
27.0,26.5
20.0,19.53
121.0,113.65
165.0,174.38
57.0,57.61
190.0,181.87
144.0,141.06
62.0,64.13
29.0,42.8
32.0,34.36
239.0,242.84
55.0,56.23
168.0,155.89
203.0,202.64
59.0,55.74
71.0,70.05
44.0,47.35
149.0,152.21
182.0,174.41
94.0,92.6
37.0,36.82
35.0,34.67
131.0,129.79
47.0,50.09
130.0,130.44
146.0,144.64
145.0,144.17
17.0,17.72
47.0,46.01
187.0,188.59
62.0,63.72
111.0,100.05
174.0,174.55
21.0,20.89
41.0,44.77
27.0,27.2
98.0,98.7
102.0,95.69
72.0,74.85
165.0,159.41
105.0,103.7
140.0,144.06
17.0,16.83
81.0,77.82
140.0,137.78
19.0,18.9
83.0,79.16
67.0,69.61
23.0,27.17
94.0,93.25
31.0,34.04
161.0,164.95
198.0,196.3
195.0,192.21
3.0,4.58
158.0,161.63
155.0,153.45
230.0,227.57
138.0,144.14
88.0,86.2
32.0,31.58
101.0,99.11
140.0,145.56
138.0,140.19
49.0,47.74
216.0,225.69
8.0,7.89
35.0,30.5
147.0,154.15
174.0,174.99
80.0,80.48
178.0,177.41
40.0,40.02
34.0,34.2
19.0,19.66
28.0,27.91
179.0,177.21
61.0,57.93
88.0,83.66
52.0,50.87
32.0,31.99
76.0,90.94
84.0,77.38
33.0,33.97
196.0,194.39
21.0,21.03
180.0,170.87
75.0,73.59
73.0,70.03
88.0,88.01
40.0,39.44
36.0,36.17
76.0,74.3
143.0,142.99
30.0,29.76
94.0,95.63
200.0,201.98
211.0,208.28
95.0,100.71
42.0,39.7
159.0,157.8
29.0,27.12
115.0,117.64
158.0,158.5
99.0,98.28
16.0,16.41
29.0,29.05
166.0,165.54
9.0,9.02
92.0,88.86
61.0,60.65
40.0,44.01
52.0,49.91
212.0,195.32
167.0,166.57
10.0,9.45
179.0,176.51
124.0,122.62
87.0,83.53
144.0,149.98
72.0,71.61
51.0,53.27
63.0,63.53
203.0,186.41
167.0,169.43
34.0,36.02
97.0,97.85
112.0,109.65
76.0,80.09
36.0,34.62
119.0,123.96
4.0,4.06
34.0,34.64
129.0,127.27
166.0,169.18
107.0,107.44
57.0,57.88
114.0,117.64
164.0,161.5
79.0,77.89
29.0,28.67
98.0,98.64
21.0,20.26
31.0,34.98
119.0,117.54
115.0,114.52
167.0,170.92
3.0,3.7
64.0,81.76
144.0,143.89
23.0,27.46
127.0,127.68
82.0,81.01
141.0,147.72
99.0,106.24
67.0,64.87
27.0,26.1
179.0,177.91
165.0,162.38
102.0,102.49
29.0,32.24
7.0,7.04
170.0,172.76
54.0,53.7
86.0,85.41
101.0,100.83
174.0,177.41
16.0,16.15
40.0,38.04
119.0,118.06
163.0,165.73
182.0,178.09
35.0,35.94
1.0,1.96
42.0,41.99
92.0,91.55
91.0,91.12
44.0,45.59
53.0,50.48
151.0,152.53
183.0,187.28
120.0,118.86
5.0,5.68
31.0,31.0
91.0,91.32
186.0,190.94
80.0,78.71
202.0,205.28
197.0,185.9
95.0,96.05
142.0,139.63
121.0,115.05
104.0,102.46
45.0,40.86
64.0,58.05
36.0,36.3
221.0,218.54
17.0,17.12
76.0,75.02
112.0,111.7
13.0,16.5
95.0,93.55
9.0,8.56
190.0,188.52
167.0,162.4
149.0,148.65
56.0,57.52
89.0,90.16
18.0,20.17
65.0,63.3
14.0,16.68
150.0,147.45
12.0,12.18
132.0,132.91
47.0,46.84
84.0,86.13
68.0,67.09
54.0,53.92
61.0,61.43
48.0,47.3
33.0,32.29
82.0,73.04
82.0,89.97
118.0,114.97
127.0,123.81
43.0,45.8
57.0,54.67
111.0,108.89
79.0,79.93
211.0,210.51
123.0,120.56
73.0,79.7
84.0,81.17
35.0,34.84
134.0,133.21
142.0,139.92
92.0,91.87
74.0,71.21
16.0,17.27
67.0,65.88
118.0,113.25
63.0,62.33
3.0,3.74
60.0,58.57
171.0,170.93
155.0,159.46
76.0,75.69
52.0,50.52
149.0,154.56
147.0,145.27
37.0,37.2
78.0,68.69
63.0,64.96
178.0,182.13
130.0,131.99
99.0,91.64
7.0,6.06
33.0,33.74
203.0,200.56
28.0,26.55
15.0,14.95
17.0,19.76
67.0,67.94
174.0,178.82
55.0,56.7
50.0,43.8
179.0,179.5
10.0,11.04
108.0,110.08
58.0,57.51
83.0,80.34
193.0,192.07
15.0,14.64
114.0,117.73
34.0,34.5
167.0,165.12
167.0,170.78
136.0,136.12
163.0,163.9
211.0,212.02
56.0,55.43
32.0,31.09
18.0,17.95
68.0,67.36
141.0,146.89
190.0,190.71
116.0,116.58
156.0,159.71
61.0,60.37
207.0,207.88
94.0,92.41
121.0,118.5
5.0,4.78
177.0,168.3
156.0,136.71
145.0,147.41
169.0,167.2
48.0,47.33
56.0,54.78
152.0,147.66
42.0,41.09
165.0,164.57
131.0,153.2
16.0,14.68
198.0,188.0
52.0,52.51
135.0,141.47
112.0,112.07
62.0,58.79
192.0,196.01
29.0,27.07
